VIN;Modelo;Distancia_SUMO_km;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Num_Pontos;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,5583;-0,6791;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7718;-73,9779;40,7708;-73,9761;-54,8811;-0,0038;-0,0173;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;2,2525;1,0152;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7902;-73,9595;40,7847;-73,9581;82,0448;0,0122;0,0002;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,1639;-0,0734;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7829;-73,9594;40,7802;-73,9593;-5,9321;0,0072;0,0011;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,4385;0,2011;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7814;-73,9523;40,7793;-73,9530;16,2538;0,0059;0,0079;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3062;0,0689;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7866;-73,9546;40,7841;-73,9545;5,5680;0,0110;0,0060;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,2677;0,0304;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7678;-73,9621;40,7652;-73,9616;2,4535;-0,0078;-0,0015;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,3042;0,0668;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7757;-73,9626;40,7732;-73,9625;5,4000;0,0003;-0,0019;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;3,8625;2,6252;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7897;-73,9662;40,7837;-73,9649;212,1665;0,0130;-0,0035;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;1,9277;0,6903;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7859;-73,9726;40,7834;-73,9709;55,7912;0,0105;-0,0119;2,0000
SUMO_veh0;HBEFA4/PC_petrol_Euro-6ab;0,3921;1,2373;0,8471;-0,3902;False;42;0;40;40,7756;-73,9605;40,7731;-73,9603;40,7767;-73,9468;40,7746;-73,9480;-31,5364;0,0013;0,0133;2,0000
