VIN;Modelo;Distancia_SUMO_km;Num_Pontos_Trajeto_Original;Num_Pontos_Trajeto_com_Offset;Diferenca_Num_Pontos;Diferenca_Num_Pontos_Percentual;Distancia_Trajeto_Original_km;Distancia_Trajeto_com_Offset_km;Diferenca_Distancia_km;Offset_Cancelado;Tentativas_MapMatching;Pontos_Descartados_MapMatching;Start_Lat_Original;Start_Lon_Original;End_Lat_Original;End_Lon_Original;Start_Lat_com_Offset;Start_Lon_com_Offset;End_Lat_com_Offset;End_Lon_com_Offset;Diferenca_Distancia_Percentual;Offset_X_Graus;Offset_Y_Graus;Raio_Maximo_km
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7262;0,2731;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7625;-73,9570;40,7595;-73,9581;7,9088;-0,0133;0,0042;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,5754;-0,8777;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7757;-73,9646;40,7732;-73,9665;-25,4170;0,0009;-0,0057;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;5,1031;1,6500;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7590;-73,9584;40,7550;-73,9573;47,7838;-0,0175;0,0038;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,8648;0,4117;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7713;-73,9595;40,7689;-73,9606;11,9226;-0,0044;0,0013;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,5646;0,1115;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7899;-73,9543;40,7883;-73,9563;3,2299;0,0153;0,0046;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,5492;1,0961;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7901;-73,9591;40,7840;-73,9586;31,7438;0,0122;0,0007;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,8435;-0,6096;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7892;-73,9667;40,7866;-73,9684;-17,6525;0,0134;-0,0065;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7785;0,3254;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7795;-73,9476;40,7768;-73,9491;9,4225;0,0040;0,0131;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;5,9451;2,4920;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7667;-73,9506;40,7629;-73,9492;72,1672;-0,0103;0,0135;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;10,7349;7,2818;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7790;-73,9686;40,7755;-73,9765;210,8782;0,0007;-0,0099;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,6670;0,2139;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7604;-73,9645;40,7580;-73,9661;6,1940;-0,0152;-0,0038;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,9803;0,5272;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7662;-73,9695;40,7634;-73,9711;15,2683;-0,0094;-0,0085;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,0768;-0,3763;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7737;-73,9558;40,7715;-73,9566;-10,8967;-0,0013;0,0049;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,9288;0,4757;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7619;-73,9673;40,7590;-73,9686;13,7759;-0,0141;-0,0067;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,1490;0,6959;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7885;-73,9670;40,7849;-73,9680;20,1523;0,0126;-0,0055;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7984;0,3453;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7700;-73,9514;40,7673;-73,9534;9,9990;-0,0058;0,0090;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,1547;-0,2984;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7917;-73,9628;40,7907;-73,9654;-8,6404;0,0170;-0,0015;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,7389;-0,7142;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7594;-73,9533;40,7571;-73,9554;-20,6831;-0,0155;0,0061;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,4062;0,9531;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7816;-73,9488;40,7789;-73,9500;27,6022;0,0058;0,0128;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7617;0,3086;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7750;-73,9529;40,7726;-73,9533;8,9376;-0,0004;0,0085;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,2517;-0,2014;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7789;-73,9500;40,7763;-73,9500;-5,8330;0,0036;0,0113;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;4,2770;0,8239;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7808;-73,9586;40,7777;-73,9593;23,8607;0,0050;0,0027;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,5345;-0,9186;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7695;-73,9482;40,7671;-73,9503;-26,6018;-0,0072;0,0144;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;2,4117;-1,0414;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7699;-73,9478;40,7674;-73,9500;-30,1572;-0,0064;0,0140;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,4593;0,0062;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7667;-73,9651;40,7642;-73,9669;0,1783;-0,0087;-0,0047;2,0000
SUMO_carro_1000;HBEFA4/PC_petrol_Euro-6ab;1,4100;131;131;0;0,0000;3,4531;3,7083;0,2552;False;133;0;40,7756;-73,9607;40,7730;-73,9622;40,7724;-73,9671;40,7690;-73,9727;7,3903;-0,0021;-0,0097;2,0000
